City Name Column,City Name
new york city,New York City
los angeles,Los Angeles
chicago,Chicago
houston,Houston
phoenix,Phoenix
philadelphia,Philadelphia
san antonio,San Antonio
san diego,San Diego
dallas,Dallas
san jose,San Jose
austin,Austin
fort worth,Fort Worth
jacksonville,Jacksonville
columbus,Columbus
charlotte,Charlotte
indianapolis,Indianapolis
san francisco,San Francisco
seattle,Seattle
denver,Denver
washington dc,Washington DC
boston,Boston
el paso,El Paso
nashville,Nashville
detroit,Detroit
las vegas,Las Vegas
oklahoma city,Oklahoma City
portland,Portland
memphis,Memphis
louisville,Louisville
milwaukee,Milwaukee
baltimore,Baltimore
albuquerque,Albuquerque
tucson,Tucson
fresno,Fresno
mesa,Mesa
sacramento,Sacramento
atlanta,Atlanta
kansas city,Kansas City
colorado springs,Colorado Springs
omaha,Omaha
raleigh,Raleigh
miami,Miami
long beach,Long Beach
virginia beach,Virginia Beach
minneapolis,Minneapolis
oakland,Oakland
tampa,Tampa
tulsa,Tulsa
arlington,Arlington
wichita,Wichita
new orleans,New Orleans
aurora,Aurora
bakersfield,Bakersfield
cleveland,Cleveland
anaheim,Anaheim
honolulu,Honolulu
santa ana,Santa Ana
riverside,Riverside
henderson,Henderson
corpus christi,Corpus Christi
lexington,Lexington
stockton,Stockton
saint paul,Saint Paul
cincinnati,Cincinnati
pittsburgh,Pittsburgh
greensboro,Greensboro
st. louis,St. Louis
plano,Plano
lincoln,Lincoln
orlando,Orlando
anchorage,Anchorage
durham,Durham
irvine,Irvine
newark,Newark
chula vista,Chula Vista
fort wayne,Fort Wayne
toledo,Toledo
st. petersburg,St. Petersburg
chandler,Chandler
laredo,Laredo
madison,Madison
jersey city,Jersey City
scottsdale,Scottsdale
lubbock,Lubbock
north las vegas,North Las Vegas
reno,Reno
gilbert,Gilbert
glendale,Glendale
buffalo,Buffalo
winston–salem,Winston–Salem
chesapeake,Chesapeake
norfolk,Norfolk
irving,Irving
garland,Garland
fremont,Fremont
richmond,Richmond
hialeah,Hialeah
boise,Boise
spokane,Spokane
tacoma,Tacoma
baton rouge,Baton Rouge
san bernardino,San Bernardino
fontana,Fontana
modesto,Modesto
moreno valley,Moreno Valley
des moines,Des Moines
fayetteville,Fayetteville
santa clarita,Santa Clarita
frisco,Frisco
port st. lucie,Port St. Lucie
mckinney,McKinney
oxnard,Oxnard
birmingham,Birmingham
rochester,Rochester
salt lake city,Salt Lake City
huntsville,Huntsville
cape coral,Cape Coral
tempe,Tempe
yonkers,Yonkers
grand rapids,Grand Rapids
amarillo,Amarillo
huntington beach,Huntington Beach
little rock,Little Rock
augusta,Augusta
overland park,Overland Park
tallahassee,Tallahassee
montgomery,Montgomery
akron,Akron
grand prairie,Grand Prairie
knoxville,Knoxville
sioux falls,Sioux Falls
mobile,Mobile
vancouver,Vancouver
shreveport,Shreveport
chattanooga,Chattanooga
worcester,Worcester
brownsville,Brownsville
ontario,Ontario
fort lauderdale,Fort Lauderdale
peoria,Peoria
providence,Providence
newport news,Newport News
rancho cucamonga,Rancho Cucamonga
elk grove,Elk Grove
salem,Salem
oceanside,Oceanside
santa rosa,Santa Rosa
pembroke pines,Pembroke Pines
cary,Cary
eugene,Eugene
garden grove,Garden Grove
corona,Corona
fort collins,Fort Collins
springfield,Springfield
clarksville,Clarksville
alexandria,Alexandria
hayward,Hayward
jackson,Jackson
lakewood,Lakewood
lancaster,Lancaster
salinas,Salinas
hollywood,Hollywood
killeen,Killeen
macon,Macon
sunnyvale,Sunnyvale
murfreesboro,Murfreesboro
palmdale,Palmdale
escondido,Escondido
pasadena,Pasadena
pomona,Pomona
thornton,Thornton
bellevue,Bellevue
naperville,Naperville
surprise,Surprise
denton,Denton
midland,Midland
joliet,Joliet
rockford,Rockford
paterson,Paterson
roseville,Roseville
mcallen,McAllen
savannah,Savannah
bridgeport,Bridgeport
olathe,Olathe
torrance,Torrance
waco,Waco
syracuse,Syracuse
miramar,Miramar
fullerton,Fullerton
dayton,Dayton
carrollton,Carrollton
charleston,Charleston
mesquite,Mesquite
orange,Orange
round rock,Round Rock
hampton,Hampton
visalia,Visalia
gainesville,Gainesville
cedar rapids,Cedar Rapids
west valley city,West Valley City
coral springs,Coral Springs
warren,Warren
columbia,Columbia
sterling heights,Sterling Heights
stamford,Stamford
santa clara,Santa Clara
new haven,New Haven
kent,Kent
concord,Concord
elizabeth,Elizabeth
lafayette,Lafayette
athens,Athens
thousand oaks,Thousand Oaks
norman,Norman
odessa,Odessa
fargo,Fargo
simi valley,Simi Valley
victorville,Victorville
wilmington,Wilmington
topeka,Topeka
abilene,Abilene
pearland,Pearland
berkeley,Berkeley
arvada,Arvada
hartford,Hartford
allentown,Allentown
meridian,Meridian
richardson,Richardson
vallejo,Vallejo
ann arbor,Ann Arbor
college station,College Station
cambridge,Cambridge
north charleston,North Charleston
evansville,Evansville
sugar land,Sugar Land
clovis,Clovis
fairfield,Fairfield
lansing,Lansing
palm bay,Palm Bay
independence,Independence
clearwater,Clearwater
west jordan,West Jordan
murrieta,Murrieta
provo,Provo
carlsbad,Carlsbad
beaumont,Beaumont
lakeland,Lakeland
westminster,Westminster
temecula,Temecula
high point,High Point
west palm beach,West Palm Beach
pueblo,Pueblo
manchester,Manchester
everett,Everett
costa mesa,Costa Mesa
pompano beach,Pompano Beach
el monte,El Monte
lewisville,Lewisville
broken arrow,Broken Arrow
antioch,Antioch
hillsboro,Hillsboro
lowell,Lowell
elgin,Elgin
centennial,Centennial
gresham,Gresham
sandy springs,Sandy Springs
jurupa valley,Jurupa Valley
billings,Billings
allen,Allen
downey,Downey
miami gardens,Miami Gardens
greeley,Greeley
league city,League City
tyler,Tyler
boulder,Boulder
inglewood,Inglewood
ventura,Ventura
sparks,Sparks
waterbury,Waterbury
davie,Davie
daly city,Daly City
santa maria,Santa Maria
wichita falls,Wichita Falls
las cruces,Las Cruces
rialto,Rialto
green bay,Green Bay
west covina,West Covina
nampa,Nampa
spokane valley,Spokane Valley
chico,Chico
tuscaloosa,Tuscaloosa
norwalk,Norwalk
south fulton,South Fulton
el cajon,El Cajon
san mateo,San Mateo
edinburg,Edinburg
bend,Bend
south bend,South Bend
burbank,Burbank
davenport,Davenport
carmel,Carmel
san angelo,San Angelo
renton,Renton
lee's summit,Lee's Summit
vacaville,Vacaville
vista,Vista
